date,US
11/29/2014,22.55692761
11/30/2014,22.88807365
12/1/2014,25.08600518
12/2/2014,26.36704041
12/3/2014,26.97800953
12/4/2014,28.93722607
12/5/2014,30.02370103
12/6/2014,30.39281249
12/7/2014,30.98822492
12/8/2014,31.71997542
12/9/2014,32.71346126
12/10/2014,33.95427028
12/11/2014,34.21639726
12/12/2014,33.45360644
12/13/2014,32.42454652
12/14/2014,31.99175767
12/15/2014,35.08301416
12/16/2014,38.39798352
12/17/2014,41.83389558
12/18/2014,44.21860684
12/19/2014,45.40429343
12/20/2014,45.52343612
12/21/2014,45.18145318
12/22/2014,66.7771406
12/23/2014,82.55974525
12/24/2014,82.8597104
12/25/2014,83.05491577
12/26/2014,79.511581
12/27/2014,45.79568401
12/28/2014,44.16306635
12/29/2014,45.21558387
12/30/2014,46.71335249
12/31/2014,37.28408474
1/1/2015,22.59341717
1/2/2015,18.22951237
1/3/2015,16.83505538
1/4/2015,16.80433687
1/5/2015,29.72432996
1/6/2015,49.30177425
1/7/2015,49.99283492
1/8/2015,49.81826403
1/9/2015,48.40622502
1/10/2015,46.01464511
1/11/2015,44.39711547
1/12/2015,44.62767907
1/13/2015,44.76283979
1/14/2015,45.03790455
1/15/2015,46.62808304
1/16/2015,47.49968246
1/17/2015,47.55354572
1/18/2015,47.76129086
1/19/2015,46.53623722
1/20/2015,44.83053868
1/21/2015,43.74808426
1/22/2015,43.80280396
1/23/2015,42.67431291
1/24/2015,41.48846816
1/25/2015,41.31585962
1/26/2015,41.08541598
1/27/2015,41.10980446
1/28/2015,41.39682839
1/29/2015,41.46174833
1/30/2015,40.98453178
1/31/2015,40.1682302
2/1/2015,39.05937969
2/2/2015,38.95478292
2/3/2015,38.32527607
2/4/2015,38.61866189
2/5/2015,38.66252615
2/6/2015,37.99243208
2/7/2015,37.2642287
2/8/2015,36.57958302
2/9/2015,36.80951156
2/10/2015,36.7392579
2/11/2015,37.02955389
2/12/2015,37.26879577
2/13/2015,36.70237398
